,random_array,algorithm,time_taken
251,35,partition_sort,0.001007080078125
252,36,qs1,0.001847982406616211
253,36,qs2,0.0022280216217041016
254,36,qs3,0.002174854278564453
255,36,qs4,0.002711057662963867
256,36,qs5,0.002190113067626953
257,36,merge1,0.0021638870239257812
258,36,partition_sort,0.0009999275207519531
259,37,qs1,0.0017998218536376953
260,37,qs2,0.002137899398803711
261,37,qs3,0.0023398399353027344
262,37,qs4,0.002508878707885742
263,37,qs5,0.00225830078125
264,37,merge1,0.0022051334381103516
265,37,partition_sort,0.0010349750518798828
266,38,qs1,0.0019168853759765625
267,38,qs2,0.0022649765014648438
268,38,qs3,0.002300262451171875
269,38,qs4,0.002212047576904297
270,38,qs5,0.0021638870239257812
271,38,merge1,0.0021889209747314453
272,38,partition_sort,0.0010101795196533203
273,39,qs1,0.0017910003662109375
274,39,qs2,0.0022373199462890625
275,39,qs3,0.0022428035736083984
276,39,qs4,0.0022902488708496094
277,39,qs5,0.0021238327026367188
278,39,merge1,0.002187967300415039
279,39,partition_sort,0.0010099411010742188
280,40,qs1,0.0018608570098876953
281,40,qs2,0.0022149085998535156
282,40,qs3,0.0022139549255371094
283,40,qs4,0.0021250247955322266
284,40,qs5,0.002287149429321289
285,40,merge1,0.0021953582763671875
286,40,partition_sort,0.0010082721710205078
287,41,qs1,0.0018978118896484375
288,41,qs2,0.0023050308227539062
289,41,qs3,0.0023109912872314453
290,41,qs4,0.0024178028106689453
291,41,qs5,0.002229928970336914
292,41,merge1,0.0022170543670654297
293,41,partition_sort,0.0010099411010742188
294,42,qs1,0.0018351078033447266
295,42,qs2,0.002241849899291992
296,42,qs3,0.0021827220916748047
297,42,qs4,0.002301931381225586
298,42,qs5,0.0022499561309814453
299,42,merge1,0.002190828323364258
300,42,partition_sort,0.0010039806365966797
301,43,qs1,0.0017580986022949219
302,43,qs2,0.002286195755004883
303,43,qs3,0.0022492408752441406
304,43,qs4,0.0023119449615478516
305,43,qs5,0.0022809505462646484
306,43,merge1,0.0022459030151367188
307,43,partition_sort,0.0010170936584472656
308,44,qs1,0.0019121170043945312
309,44,qs2,0.0022492408752441406
310,44,qs3,0.0022509098052978516
311,44,qs4,0.0022079944610595703
312,44,qs5,0.0021941661834716797
313,44,merge1,0.0021791458129882812
314,44,partition_sort,0.0010609626770019531
315,45,qs1,0.0017879009246826172
316,45,qs2,0.002164125442504883
317,45,qs3,0.002213001251220703
318,45,qs4,0.0023860931396484375
319,45,qs5,0.0021820068359375
320,45,merge1,0.0021848678588867188
321,45,partition_sort,0.0010118484497070312
322,46,qs1,0.0019109249114990234
323,46,qs2,0.0023148059844970703
324,46,qs3,0.0022127628326416016
325,46,qs4,0.002298116683959961
326,46,qs5,0.0022001266479492188
327,46,merge1,0.0021970272064208984
328,46,partition_sort,0.0010120868682861328
329,47,qs1,0.0018990039825439453
330,47,qs2,0.002154827117919922
331,47,qs3,0.0021851062774658203
332,47,qs4,0.0022819042205810547
333,47,qs5,0.0022149085998535156
334,47,merge1,0.002215862274169922
335,47,partition_sort,0.0010118484497070312
336,48,qs1,0.0020051002502441406
337,48,qs2,0.0022721290588378906
338,48,qs3,0.002302885055541992
339,48,qs4,0.002624988555908203
340,48,qs5,0.002231121063232422
341,48,merge1,0.0022268295288085938
342,48,partition_sort,0.0010287761688232422
343,49,qs1,0.0019080638885498047
344,49,qs2,0.002171039581298828
345,49,qs3,0.002256155014038086
346,49,qs4,0.0022988319396972656
347,49,qs5,0.0021729469299316406
348,49,merge1,0.002212047576904297
349,49,partition_sort,0.0010068416595458984
350,50,qs1,0.0018820762634277344
351,50,qs2,0.002390146255493164
352,50,qs3,0.0023009777069091797
353,50,qs4,0.0022771358489990234
354,50,qs5,0.0022971630096435547
355,50,merge1,0.002183198928833008
356,50,partition_sort,0.001010894775390625
357,51,qs1,0.001911163330078125
358,51,qs2,0.0022361278533935547
359,51,qs3,0.002259969711303711
360,51,qs4,0.0024318695068359375
361,51,qs5,0.002238035202026367
362,51,merge1,0.0021848678588867188
363,51,partition_sort,0.0010228157043457031
364,52,qs1,0.0018029212951660156
365,52,qs2,0.0023529529571533203
366,52,qs3,0.002315998077392578
367,52,qs4,0.002277851104736328
368,52,qs5,0.0021309852600097656
369,52,merge1,0.0022187232971191406
